"","term","estimate","std.error","statistic","p.value","genename","genesymbol"
"1","ENSG00000108443.14",-2.08419227354287,0.0500826211331886,-41.615079769891,0,"ENSG00000108443","RPS6KB1"
"2","ENSG00000108423.15",2.09948225491411,0.055441174715563,37.8686466454825,8.44782355759594e-314,"ENSG00000108423","TUBD1"
"3","ENSG00000147485.13",1.20264005911153,0.0698569529188078,17.2157531764851,2.02298712992669e-66,"ENSG00000147485","PXDNL"
"4","ENSG00000105245.9",-2.60984355677441,0.163082692615513,-16.0031914786166,1.21389565507576e-57,"ENSG00000105245","NUMBL"
"5","ENSG00000126353.3",3.34204121144955,0.223447648101908,14.9567079351193,1.40821924151722e-50,"ENSG00000126353","CCR7"
"6","ENSG00000138777.20",1.46228081647824,0.10228874939096,14.2956173106509,2.33030234037231e-46,"ENSG00000138777","PPA2"
"7","ENSG00000052850.8",0.633377895487946,0.0464834917728551,13.6258674064976,2.81050972538971e-42,"ENSG00000052850","ALX4"
"8","ENSG00000141959.17",1.28668665995192,0.100110111115049,12.8527143324536,8.30443527075556e-38,"ENSG00000141959","PFKL"
"9","ENSG00000181481.14",0.908473311175348,0.0717661015324314,12.6588081528269,1.00006086131053e-36,"ENSG00000181481","RNF135"
"10","ENSG00000090989.18",1.04010169545674,0.0833569625893379,12.4776822852922,9.88214754718417e-36,"ENSG00000090989","EXOC1"
"11","ENSG00000128394.17",-1.25514572696329,0.101258462256117,-12.395465020875,2.76536856998217e-35,"ENSG00000128394","APOBEC3F"
"12","ENSG00000131080.15",1.28978951085001,0.104992983595283,12.2845305151225,1.096798957974e-34,"ENSG00000131080","EDA2R"
"13","ENSG00000102144.15",1.12367994048823,0.0918578825088487,12.2328090937649,2.07631882707708e-34,"ENSG00000102144","PGK1"
"14","ENSG00000152705.8",1.15372222147834,0.0991124234879279,11.6405409218842,2.5638438439918e-31,"ENSG00000152705","CATSPER3"
"15","ENSG00000174327.7",-1.50490666955126,0.135128215219376,-11.1368796450697,8.29758056431725e-29,"ENSG00000174327","SLC16A13"
"16","ENSG00000142185.16",1.03280770501568,0.0933871344633227,11.0594217388832,1.97365822668309e-28,"ENSG00000142185","TRPM2"
